season,daynum,wteam,wscore,lteam,lscore,wloc,numot,line_wloc,line,lineavg,linesag,linesage,linesagp,linepom,linemoore,linepugh,lineopen,linedok,linefox,linepig
2006,22,1397,83,1418,76,H,0,H,10.00,7.93,6.32,4.91,7.77,9.15,9.90,,9.00,,,
2006,22,1400,68,1234,59,N,0,H,3.50,4.51,4.93,5.71,4.51,5.00,2.84,,3.00,,,
2006,22,1408,77,1309,66,N,0,H,-4.00,2.16,1.46,1.39,1.67,1.09,4.48,,-1.00,,,
2006,22,1414,78,1365,70,H,0,H,5.00,9.53,10.37,5.90,19.93,9.59,2.72,,6.00,,,
2006,22,1423,70,1317,52,H,0,H,12.00,15.15,16.19,17.82,14.65,16.74,11.38,,13.00,,,
2006,22,1424,67,1218,61,H,0,H,2.50,1.73,1.26,.93,1.58,-1.03,5.43,,3.50,,,
2006,22,1428,66,1348,50,H,0,H,13.00,13.13,9.25,10.94,8.02,15.68,17.86,,14.50,,,
2006,22,1435,85,1422,53,H,0,H,20.50,21.61,19.62,18.97,20.30,21.01,26.17,,19.00,,,
2006,22,1438,59,1350,43,A,0,A,3.00,3.02,1.37,-1.95,4.98,2.83,6.20,,3.00,,,
2006,22,1449,90,1225,67,H,0,H,25.00,22.77,18.49,18.74,19.06,18.87,34.41,,24.00,,,
2006,23,1163,65,1211,63,N,0,N,4.00,7.46,8.18,6.51,9.03,7.83,6.47,,5.00,,,
2006,23,1168,76,1337,66,H,0,H,7.00,1.82,.11,-.46,.70,1.66,5.40,,10.00,,,
2006,23,1173,67,1287,41,H,0,H,19.00,19.19,17.70,16.02,19.16,17.02,24.54,,18.00,,,
2006,23,1181,78,1180,68,N,0,N,23.50,13.97,11.06,6.82,14.45,13.50,21.11,,21.50,,,
2006,23,1201,85,1142,77,A,0,A,10.00,9.67,8.22,8.83,7.54,10.66,11.63,,13.00,,,
2006,23,1235,72,1340,64,H,0,H,23.50,17.30,14.63,12.45,16.75,17.09,22.91,,24.00,,,
2006,23,1243,68,1307,56,H,0,H,7.00,5.79,7.26,2.97,11.45,6.79,1.95,,5.00,,,
2006,23,1268,75,1116,62,N,0,N,.00,-.64,-2.63,-2.12,-3.06,-.02,2.63,,4.00,,,
2006,23,1272,88,1417,80,N,0,N,6.50,8.21,10.23,8.59,11.98,10.31,1.96,,7.00,,,
2006,23,1277,74,1112,71,N,1,N,-2.00,-6.82,-8.27,-7.61,-8.85,-9.39,-1.42,,-2.00,,,
2006,23,1280,53,1150,38,A,0,A,-9.00,3.02,5.27,7.64,3.34,5.58,-4.48,,-8.50,,,
2006,23,1320,69,1444,63,A,0,A,2.50,-4.82,-5.26,-5.98,-4.33,-4.60,-4.37,,5.00,,,
2006,23,1331,68,1425,48,N,0,N,3.50,1.12,1.36,-.13,2.90,3.05,-1.35,,2.50,,,
2006,23,1363,79,1360,68,H,0,H,-1.00,1.97,4.82,3.65,6.03,1.39,-3.21,,-2.00,,,
2006,23,1390,71,1362,56,H,0,H,16.00,11.49,9.87,8.33,11.70,9.35,16.58,,14.50,,,
2006,23,1403,83,1202,74,H,0,H,17.50,16.56,13.85,14.33,13.38,15.50,23.04,,16.50,,,
2006,23,1405,64,1460,53,H,0,H,8.00,9.51,8.12,8.50,7.75,8.36,13.42,,9.00,,,
2006,24,1284,80,1356,68,N,0,N,-15.00,-18.23,-16.91,-17.70,-16.34,-19.92,-18.96,,-16.00,,,
2006,26,1103,67,1464,62,H,0,H,20.50,22.52,21.41,21.60,21.33,23.20,23.95,,21.50,,,
2006,26,1123,71,1460,50,A,0,A,-3.50,-.09,-1.34,.53,-3.15,.20,2.06,,-1.00,,,
2006,26,1130,76,1329,68,N,0,N,3.00,-1.30,-4.48,.66,-7.94,-2.15,4.24,,2.50,,,
2006,26,1138,66,1178,60,N,0,H,-2.50,5.92,5.92,7.58,4.39,2.70,9.00,,.00,,,
2006,26,1143,83,1318,76,H,0,N,6.50,-2.99,-4.93,-8.45,-1.72,-3.39,1.60,,5.00,,,
2006,26,1150,73,1209,68,A,0,A,4.50,-5.90,-8.92,-6.54,-11.55,-7.72,2.20,,3.00,,,
2006,26,1160,73,1388,54,N,0,H,7.00,8.60,7.54,5.92,9.29,9.51,9.68,,7.00,,,
2006,26,1161,64,1176,58,A,0,A,-4.00,-6.98,-7.18,-8.68,-6.60,-8.34,-4.28,,-3.50,,,
2006,26,1166,91,1173,90,H,2,H,9.50,12.30,13.85,15.23,12.16,12.62,9.20,,10.50,,,
2006,26,1170,85,1362,78,A,0,A,-9.50,-8.78,-9.21,-10.15,-8.37,-5.36,-11.23,,-8.50,,,
2006,26,1172,100,1386,94,H,1,H,-1.00,-8.09,-6.37,-1.40,-11.95,-11.53,-7.46,,-1.00,,,
2006,26,1177,59,1321,49,H,0,H,3.00,3.90,4.52,4.80,4.26,2.82,3.73,,4.00,,,
2006,26,1179,86,1395,79,N,0,N,3.00,2.25,.86,.50,1.21,4.33,2.94,,2.50,,,
2006,26,1187,70,1459,68,H,1,H,3.00,1.59,-1.65,-.43,-2.91,-.37,10.07,,4.00,,,
2006,26,1201,80,1333,73,H,0,H,5.50,8.84,11.17,10.09,12.57,10.72,1.99,,4.50,,,
2006,26,1206,72,1264,66,A,0,A,-1.00,1.36,2.32,-.85,5.46,3.91,-3.06,,-1.50,,,
2006,26,1208,69,1443,65,A,0,A,-7.50,-8.31,-9.78,-8.85,-10.74,-9.25,-4.39,,-8.00,,,
2006,26,1218,82,1387,64,H,0,H,11.00,10.98,11.32,9.02,15.28,10.83,8.77,,11.50,,,
2006,26,1228,77,1353,57,N,0,N,7.50,8.20,5.17,5.37,5.12,10.11,12.19,,8.00,,,
2006,26,1229,64,1444,47,H,0,H,,.72,2.70,2.47,2.92,-1.64,-.88,,,,,
2006,26,1232,85,1292,79,H,1,H,4.50,-1.75,-2.37,-3.02,-1.58,-2.84,.45,,2.00,,,
2006,26,1233,89,1235,72,A,0,A,-13.00,-12.54,-9.83,-8.17,-11.47,-11.21,-19.29,,-13.50,,,
2006,26,1256,76,1309,64,N,0,A,1.00,-2.00,-3.61,-4.44,-2.80,1.17,-1.92,,-1.00,,,
2006,26,1261,71,1452,68,A,1,A,-5.00,-2.71,-1.79,-2.02,-1.17,-3.48,-4.18,,-6.50,,,
2006,26,1265,64,1174,48,H,0,H,3.50,4.45,4.30,2.30,6.34,7.33,1.82,,4.00,,,
2006,26,1266,92,1376,89,N,1,N,-5.00,-8.01,-6.89,-8.07,-6.08,-4.96,-12.92,,-4.50,,,
2006,26,1267,70,1191,67,H,0,H,5.00,.09,-.15,-1.40,1.10,.10,.55,,5.50,,,
2006,26,1276,78,1139,74,H,0,H,11.50,13.51,13.35,13.28,13.42,13.91,13.43,,9.50,,,
2006,26,1278,67,1151,46,H,0,H,10.00,13.32,12.49,13.71,11.45,12.93,15.20,,10.50,,,
2006,26,1283,97,1117,80,A,0,A,1.00,3.62,2.53,1.73,4.12,1.64,6.99,,2.50,,,
2006,26,1301,61,1323,48,N,0,A,3.00,-4.44,-8.34,-8.81,-7.84,-3.33,2.23,,2.50,,,
2006,26,1305,68,1424,61,A,0,A,.00,-3.85,-5.94,-1.82,-9.31,-4.00,-.28,,.00,,,
2006,26,1307,76,1431,72,H,0,H,4.50,6.95,4.85,4.69,5.05,5.83,12.23,,3.00,,,
2006,26,1331,62,1284,54,N,0,N,11.50,3.37,-.27,.17,-.76,2.15,11.92,,10.00,,,
2006,26,1332,84,1349,60,H,0,H,15.50,17.09,15.11,13.09,18.70,16.40,20.15,,14.00,,,
2006,26,1335,68,1180,60,H,0,H,4.00,.72,.76,2.98,-1.27,-2.38,3.55,,3.50,,,
2006,26,1337,79,1414,76,H,0,H,1.00,-.24,-2.50,.47,-6.33,-1.48,6.38,,.00,,,
2006,26,1348,57,1135,40,H,0,H,8.50,8.08,8.34,11.24,5.38,5.25,10.43,,8.50,,,
2006,26,1356,80,1186,72,N,0,N,12.00,16.52,14.91,14.50,15.33,15.42,20.83,,11.00,,,
2006,26,1360,82,1415,65,A,0,A,5.00,6.93,5.50,3.67,8.37,9.03,6.66,,5.00,,,
2006,26,1365,63,1334,60,H,0,H,3.00,.94,2.52,1.15,4.07,1.27,-2.74,,1.50,,,
2006,26,1382,77,1145,55,H,0,H,1.00,4.19,4.29,3.90,4.64,3.86,4.34,,1.00,,,
2006,26,1385,67,1310,61,H,0,H,10.50,5.28,3.38,3.21,3.57,2.64,11.68,,11.50,,,
2006,26,1403,76,1287,42,H,0,H,28.00,21.51,17.72,18.22,17.30,20.20,30.30,,27.00,,,
2006,26,1423,59,1189,51,A,0,A,4.00,9.10,9.36,12.82,6.39,10.98,6.21,,4.00,,,
2006,26,1428,67,1451,62,A,1,A,5.00,3.02,-1.57,1.91,-4.32,2.60,11.87,,5.50,,,
2006,26,1433,62,1222,61,A,0,A,-9.00,-3.92,-2.36,-3.41,-1.45,-1.92,-8.91,,-6.00,,,
2006,26,1435,68,1207,61,A,0,A,-3.00,-1.51,-2.57,-4.03,-.54,2.18,-3.64,,-4.50,,,
2006,26,1450,63,1225,37,H,0,H,12.00,5.81,-.68,.61,-2.15,4.30,20.49,,11.50,,,
2006,26,1455,62,1175,44,N,0,N,9.00,10.50,6.73,4.92,9.38,13.46,14.23,,9.00,,,
2006,26,1462,74,1345,55,N,0,A,6.00,2.17,.11,-3.01,4.66,1.65,5.37,,6.00,,,
2006,27,1112,81,1438,51,H,0,H,13.00,9.39,6.72,7.13,6.21,8.10,16.10,,12.00,,,
2006,27,1304,69,1369,54,H,0,H,6.00,13.69,13.09,17.35,9.60,14.12,13.68,,,,,
2006,27,1396,73,1274,56,H,0,H,-2.50,2.52,2.93,1.98,4.03,1.71,2.37,,-3.00,,,
2006,27,1405,72,1374,60,A,0,A,-1.00,1.64,3.31,1.44,5.28,1.89,-2.05,,-1.00,,,
2006,28,1113,73,1364,57,H,0,H,4.50,6.21,2.96,3.85,1.98,6.89,12.14,,5.50,,,
2006,28,1150,59,1339,46,H,0,H,14.50,11.26,10.29,9.58,11.17,11.81,12.46,,14.00,,,
2006,28,1161,77,1120,67,H,0,H,6.00,7.39,6.58,11.33,3.00,2.55,12.67,,6.00,,,
2006,28,1204,89,1227,69,H,0,H,2.00,-1.92,-2.69,-1.76,-3.70,-2.76,.56,,1.50,,,
2006,28,1241,81,1111,79,H,2,H,-1.50,-6.53,-6.83,-10.55,-3.87,-6.18,-5.52,,1.00,,,
2006,28,1296,77,1177,68,H,0,H,2.50,-.73,1.46,.36,2.30,-1.92,-3.66,,2.00,,,
2006,28,1326,69,1439,56,H,0,H,10.00,10.95,12.09,12.54,11.70,10.55,9.00,,10.50,,,
2006,28,1344,81,1193,78,A,0,A,5.50,8.64,7.50,6.23,8.97,9.40,9.95,,4.00,,,
2006,28,1359,52,1379,33,A,0,A,-3.50,-1.17,1.23,3.36,-.65,-.56,-6.81,,-3.50,,,
2006,28,1371,66,1389,57,H,0,H,11.00,12.92,12.06,18.68,6.59,12.94,13.45,,10.50,,,
2006,28,1373,64,1200,54,H,0,H,-2.00,4.23,8.09,8.13,8.18,6.21,-5.61,,-2.00,,,
2006,28,1375,81,1258,80,A,1,A,-5.00,-5.20,-3.62,-7.32,1.65,-8.75,-6.39,,-4.50,,,
2006,28,1390,82,1142,58,H,0,H,24.00,20.71,16.78,18.97,14.75,18.92,30.20,,24.00,,,
2006,28,1399,72,1454,67,H,0,H,-3.00,-4.07,-4.17,-7.28,-1.47,-.50,-7.05,,-3.50,,,
2006,29,1104,73,1256,63,H,0,H,13.50,16.93,14.71,14.46,15.25,14.49,22.25,,13.00,,,
2006,29,1155,96,1336,88,A,0,A,5.00,5.12,2.31,2.52,2.51,5.09,7.06,,6.50,,,
2006,29,1160,78,1335,60,A,0,A,-2.00,.74,-.98,-4.44,1.97,4.74,2.41,,.00,,,
2006,29,1173,75,1153,66,A,0,A,-8.00,-11.11,-10.98,-11.69,-10.15,-8.90,-13.43,,-9.00,,,
2006,29,1178,64,1185,60,A,0,A,2.50,.29,-3.31,-3.41,-3.11,4.29,.90,,3.00,,,
2006,29,1198,69,1378,64,H,2,H,2.00,-2.11,-.44,-.06,-.84,-5.26,-1.98,,3.50,,,
2006,29,1199,97,1345,57,H,0,H,11.00,8.92,9.30,6.10,12.56,8.63,10.39,,11.00,,,
2006,29,1209,76,1418,61,H,0,H,-2.00,-2.68,-1.82,-2.96,-.93,.09,-6.79,,-3.00,,,
2006,29,1220,64,1385,51,A,0,A,-6.00,-9.06,-7.70,-8.15,-7.34,-10.89,-11.82,,-5.50,,,
2006,29,1222,84,1261,83,A,0,A,-9.50,-16.06,-17.10,-17.59,-16.70,-18.22,-16.18,,-9.50,,,
2006,29,1228,68,1314,64,A,0,A,-2.00,-2.52,-4.23,-2.26,-5.45,.25,-2.26,,-2.50,,,
2006,29,1235,68,1320,61,H,0,H,3.50,1.16,.35,-.89,1.51,-4.25,7.42,,3.50,,,
2006,29,1276,74,1274,53,H,0,H,6.00,6.83,8.68,10.61,6.50,6.26,4.16,,5.50,,,
2006,29,1292,81,1151,71,H,0,H,8.00,13.59,13.65,13.15,14.23,15.41,12.16,,6.50,,,
2006,29,1365,47,1363,46,A,0,A,-2.00,-1.89,-3.40,-2.28,-4.60,-4.00,2.14,,.00,,,
2006,29,1386,69,1180,59,A,0,A,2.00,1.90,1.20,.82,1.65,1.15,3.96,,2.50,,,
2006,29,1443,92,1412,76,A,0,A,-8.00,-8.76,-8.50,-10.12,-6.55,-9.45,-12.67,,-8.50,,,
2006,29,1448,91,1458,88,H,0,H,5.00,3.74,1.29,2.97,.38,2.75,7.89,,4.50,,,
2006,30,1103,79,1182,61,H,0,H,15.50,11.40,12.44,12.68,12.75,17.48,14.61,,14.50,,,
2006,30,1113,83,1317,67,H,0,H,12.50,14.91,12.75,10.81,14.84,17.86,16.02,,12.00,,,
2006,30,1116,77,1379,35,H,0,H,24.00,21.86,20.97,17.54,25.69,22.73,25.70,,22.50,,,
2006,30,1138,85,1201,69,H,0,H,5.00,5.26,3.30,7.62,-.43,3.33,7.94,,3.50,,,
2006,30,1139,82,1408,61,H,0,H,12.00,8.59,10.55,9.56,11.65,9.95,8.96,,11.00,,,
2006,30,1143,70,1363,52,H,0,H,13.00,8.56,5.37,8.21,2.40,8.70,14.27,,12.00,,,
2006,30,1150,85,1172,81,H,2,H,4.00,-1.42,-.19,-5.44,3.36,-.26,3.41,,4.50,,,
2006,30,1156,56,1141,43,H,0,H,5.00,1.05,-2.80,-1.99,-5.88,.55,3.64,,6.00,,,
2006,30,1177,72,1166,57,H,0,H,-4.00,-8.31,-4.34,-7.02,-3.96,-9.31,-2.96,,-2.50,,,
2006,30,1181,75,1231,67,A,0,A,6.50,4.95,6.20,10.22,2.90,7.71,4.36,,7.50,,,
2006,30,1186,68,1225,55,A,0,A,-4.00,-6.69,-6.86,-7.84,-6.64,-7.25,-1.69,,-5.00,,,
2006,30,1187,66,1459,62,A,0,A,-6.00,-4.99,-4.86,-2.79,-7.02,-6.55,-.26,,-5.00,,,
2006,30,1211,89,1340,80,H,0,H,24.00,21.97,18.00,20.45,16.29,22.47,25.79,,24.50,,,
2006,30,1234,45,1301,42,H,0,H,4.50,-.65,1.15,-.50,3.03,-1.61,4.50,,4.00,,,
2006,30,1243,84,1168,59,H,0,H,9.00,13.31,10.56,10.51,10.65,17.03,13.45,,7.50,,,
2006,30,1245,77,1464,69,A,0,A,10.00,13.14,7.90,9.59,6.42,10.33,11.87,,11.00,,,
2006,30,1253,93,1258,85,H,0,H,.00,-1.16,1.46,2.45,.15,-6.24,-.52,,1.00,,,
2006,30,1260,86,1133,72,H,0,H,1.00,2.10,1.52,.65,2.27,.95,2.94,,.00,,,
2006,30,1268,83,1278,66,H,0,H,14.50,13.81,13.94,15.09,12.85,13.58,15.24,,13.50,,,
2006,30,1275,54,1460,46,H,0,H,11.00,17.51,13.93,13.34,15.08,21.11,16.72,,9.50,,,
2006,30,1277,88,1210,86,H,0,H,14.00,15.95,10.83,11.61,10.46,11.88,19.74,,11.00,,,
2006,30,1280,67,1309,59,H,0,H,7.50,13.26,13.66,15.38,12.05,16.71,11.93,,10.00,,,
2006,30,1304,84,1266,74,H,0,H,4.50,2.13,-.12,1.83,-1.76,-.66,5.68,,4.50,,,
2006,30,1328,62,1409,53,A,0,A,16.00,17.04,11.69,11.58,11.81,17.29,16.37,,15.00,,,
2006,30,1329,80,1424,62,H,0,H,10.00,5.83,6.46,7.69,5.08,8.29,11.92,,10.50,,,
2006,30,1334,75,1362,71,A,1,A,2.00,5.49,3.52,1.15,6.19,5.77,5.32,,.00,,,
2006,30,1353,67,1396,53,H,0,H,-1.00,-1.00,.34,6.80,-6.67,-.19,.56,,.00,,,
2006,30,1360,90,1361,80,H,0,H,-3.00,-1.57,.06,1.29,-2.18,-2.86,-3.98,,-3.00,,,
2006,30,1376,77,1422,55,H,0,H,21.00,20.93,19.43,17.23,21.94,19.99,26.29,,22.00,,,
2006,30,1387,56,1356,42,H,0,H,1.00,3.55,1.70,3.16,-.11,3.06,-6.13,,.00,,,
2006,30,1393,87,1264,82,H,1,H,15.00,16.64,13.78,12.55,15.06,16.63,18.21,,15.00,,,
2006,30,1397,64,1293,53,N,0,H,4.50,6.37,6.26,6.48,6.05,7.45,17.99,,4.50,,,
2006,30,1403,81,1395,54,H,0,H,16.00,14.41,11.18,11.26,11.09,14.27,18.56,,14.50,,,
2006,30,1423,75,1456,66,A,0,A,4.50,4.02,3.94,11.21,-2.22,6.92,2.84,,4.50,,,
